# T48 SPI catalog generated from T48SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25B128ESF	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESQ	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESS	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128EST	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B128ESW	BOYA_MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESH	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESQ	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESS	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64EST	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25B64ESW	BOYA_MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05ASS	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05AST	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05ESS	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05EST	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVM	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVO	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVS	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVT	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D05FVU	BOYA_MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10ASS	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10AST	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVM	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVO	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVS	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVT	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVU	BOYA_MICRO		1310720	256	3.3	SPI	25xx	SPI_NOR	true
BY25D16AS	BOYA_MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ASS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AST	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVO	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVT	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVU	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESM	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESO	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EST	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESU	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWM	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWO	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWT	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWU	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSM	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSO	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSS	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FST	BOYA_MICRO		2621440	256	3.3	SPI	25xx	SPI_NOR	true
